Date,Tencent,CKLife,Waison,Cowell,quantity,asset,trade_value,portfolio_value
2019-05-08,384.8,0.435,3.84,1.66,,,,92738.275
2019-05-09,375.6,0.425,3.77,1.58,,,,90201.885
2019-05-10,382.0,0.43,3.88,1.65,,,,92160.29000000001
2019-05-14,370.6,0.415,3.76,1.61,,,,89489.76500000001
2019-05-15,374.0,0.425,3.82,1.67,,,,90890.015
2019-05-16,365.6,0.43,3.8,1.7,,,,89899.14
2019-05-17,355.8,0.42,3.75,1.66,,,,87683.03
2019-05-20,342.0,0.42,3.73,1.62,,,,85058.75
2019-05-21,341.2,0.415,3.62,1.45,,,,83030.645
2019-05-22,339.0,0.42,3.65,1.48,,,,83106.77
2019-05-23,326.0,0.415,3.61,1.43,,,,80390.505
2019-05-24,324.8,0.41,3.45,1.42,,,,79768.52
2019-05-27,323.8,0.415,3.36,1.38,,,,79180.655
2019-05-28,325.6,0.41,3.46,1.4,,,,79718.38
2019-05-29,322.0,0.415,3.39,1.4,,,,79130.795
2019-05-30,324.4,0.415,3.37,1.4,,,,79484.795
2019-05-31,326.0,0.405,3.3,1.38,,,,79255.825
2019-06-03,333.6,0.405,3.15,1.4,,,,80439.965
2019-06-04,327.2,0.395,3.16,1.41,,,,79340.705
2019-06-05,331.0,0.395,3.15,1.41,,,,79933.705
2019-06-06,330.4,0.4,3.1,1.4,,,,79759.55
2019-06-10,343.0,0.4,3.04,1.47,,,,82361.54
2019-06-11,344.6,0.405,3.05,1.48,,,,82822.525
2019-06-12,337.4,0.395,2.99,1.42,,,,80814.27500000001
2019-06-13,334.2,0.405,3.0,1.39,,,,80214.39499999999
2019-06-14,330.0,0.405,3.0,1.38,,,,79445.825
2019-06-17,329.0,0.41,2.94,1.36,20.0,Tencent,6580.0,79096.09999999999
2019-06-18,334.0,0.4,2.92,1.39,,,,80068.97999999998
2019-06-19,347.2,0.405,2.93,1.48,,,,83422.525
2019-06-20,354.0,0.41,2.96,1.48,,,,84784.93999999999
2019-06-21,354.4,0.41,2.82,1.47,,,,84550.36999999998
